sentimen,teks
1,ke indo dr korea grgr ada acara br dtg di kondangan tp dia gapunya sim internasional jd yang nyetir kamu sembari km nyari 
0,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
0,kenapa sih kamu tuh 
2,di hari jum'at yang baik dan mustajab ini aku ingin berdo'a yaa allah berikan hamba keberanian untuk keluar dari 
2,aku pengen ini ya allah 
0,sa mana pr kamu saya lupa ngerjain pak hukuman apa yg pantas buat kamu gimana kalau saya jadi pelayan hati bapak gigitkeset botsesat
2,hahahahahahah selalu umpan aku dgn bakso cheese kan hahaha inshaallah nanti kalau jd buat aku gtau
1,aku penasaran bagaimana akhir kisah kita 
1,mutualan yuk aku ikonic jg btw rt aja ya fllbck tpi hehe ab 
1,kadang aku nangis yen aku ora mbok chatt pas lagi aku turuh 
1,kalau dekat rumah aku prefer duduk dekat luar aku cari yg cangkung habit 
0,bodola emma tak jadi aku nak murung harini 
2,wkwk harusnya aku tanya juga pertanyaan itu karena aku kepo and i knew her since long 
1,aku mau beli baju tapi paketan tsel lagi promo yaallah cobaan apa lagi ini
2,rlt ini di mall aku nemu ginian ngakak bgt 
1,gasopan kamu nder pelecehan terhadap makhluk laut nih
1,dilan kamu ganti warna rambut iya milea suka nggakejak kapan kamu suka pink dilan hmmmejak aku tau bah 
0,hari aku mendapatkan cerita yang sangat menyentuh tentang bunuh diri teman di facebook membuka kisahnyaemoga bisa 
1,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
1,ooooo real juga ni haha takyah pura pura gelak 
1,aku tg hore 
1,giveaway pulsa tweet ini pulsa 5k buat dua orang lusa aku umumin gt lt flop aku delete 
0,berada di dimensi ruang dan waktu yang sama bukan berarti aku dan kamu bisa bersama juga na
1,maksudnya tuh dosen pada ngeganti jam kosong ke jam pagi jadi masuk pagi terus aku 
1,itu pdhl sebagian punya ibu wkwkwk aku mah dikit kak punyany 
2,rlt inilah alasan kenapa aku cinta twitter ' cr sharpanocopath 
2,aku cuba utk tak awkward dgn kau aku berterima kasih sbb kau pun membantu 
2,kebahagiaan tidak akan habis hanya karena membaginya ketahuilah kebahagiaan bertambah ketika kamu bersedia untuk berbag 
2,dan hendaklah mereka memaafkan dan berlapang dada apakah kamu tidak suka bahwa allah mengampunimu dan allah ma 
1,kenapa melayu bodoh eh sial la melayu ni aku ni melayu tp baik sgt asyik kene pijak je kene guna kanialan bangsat 
1,halo tari selamat mengulang tanggal dan bulan cie barengan sama hanemoga menjadi pribadi yang 
1,mfs folowan rt ja ntar aku folow follback tpi
2,seorang ksatria patriot pasti mengayomi yg lemah buktinya kita semua tau siapa yg menulis buku aku bangga jadi anak pki o 
0,ambyar kthku astaga
1,kak aku tidur 7 9 jam sehari sehat ya berarti 
1,ye wehh aku takde mood sebab li tak jumpa lagi lepastu macam macam benda aku fikir aku penat hm nasib ade shuben yang faham kan aku 
2,aku suka tobeli
0,ni mesti jenis melayan ni dah layan lelaki ni lepas tu layan lelaki lain pulak lepas tu play victim kata tak in relationshi 
1,achie yg itu kan aunya doang serah serah aku dong lang maunya masi kecil 
0,pada masa yang sama aku tunggu aku sakit aku sayang aku berharap tapi semua tu satu pun tak dapat nak diluahkan sebab takkan siapa faham 
0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
2,kamu suka kanuka dongg 
1,himalaya nih pasti aku juga gitu disekitaran hidung aja sih
2,terkadang untuk membuatmu menyadari siapa dirimu tuhan tak memberi orang yang kamu inginkan tapi orang yang kamu butuhkan 
0,aku gak tanya takut kepedesan nanyanya trus malah jadi toxic lagi ntar cuma mau nitip ini aja dah 
0,aku dah malas nak kecik hati sebab benda remeh temeh ni 
1,jadi pilih minjin atau annyeongz nih yena sama yuri aja deh tapi yurinya juga gencar dikerdusin yujin 
2,aku suka bila org yg aku syg selalu cari aku letakkan aku sbg priority diauka duka susah senang dia cari aku dia tak p 
2,jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora 
1,hahahaha iya aku bagian parut parutin kelapa sama meres santen
1,dulu aku pernah berpikir bahwa segala hal dapat diperdebatkanekarang aku lebih sering berpikir ini gak perlu diperde 
0,tf charlie dah gigit bawah mata aku apa salah gue sih 
1,dgr2 org hr company dok bincang pasal kpop wei kalau dyeorg mention sekali jek nama bts aku join 
1,aku skrg avail bekasi ya nodp u22 157 53 38b rate and rules wa 085893457886 
2,gak ada bosannya nunggu kamu balik lagi sama aku ' 
1,aku disini' '
1,pernah tak tengah2 cuti tiba2 bos mintak important dokumen yg korang bawak balik untuk finalise at the same time korang t 
0,duh maaf aku baru on 
1,kannnnn kadang aku tak creative lah lukis2 just note sikit sikit je haha
1,karena aku menang fansign svt besok aku mau giveaway untuk carat ditunggu yaa 
0,kenapa aku jenis reply chat orang cepat nak mampus sedangkan orang tu lepas sejam baru dia reply and aku boleh terima de 
2,alhamdulillah baru sampe rumah nih hari yang panjang sekali jadi ngantuk banget sampe susah melek tetapi aku seneng 
1,ada kunjungan dari kyunghee university dan dosennya tau nuest btw dosennya udah ahjumma eo kamu fansnya nuest 
0,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
1,punya sesuatu mau away di ugd gitu terus sampai barang berharga milikmu habis kalau sudah habis mau apa apa pss mau mem 
0,aku pengen nangis liat ini 
1,rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa
1,tahukah kamu bahwa pulau jayakypiea mempunyai beberapa kesamaan dengan irian jaya
2,sarah gtayang hahahah tersasul panggil sayang hahahahah lawak abang ipar aku ni
1,good aftieee montokku 
2,jangan berpikir kamu tak mampu hidup tanpa dia yg telah meninggalkanmu percayalah ada seseorang yg lebih baik sedang menunggumu 
2,maafin aku masih suka ngetawain ini 
1,ya nona mengambil troli dan mendorong troli tersebut memang mau masak apa kamu hari ini 
0,kenapa kurus kering sangat ni tak cukup makan ke dia tak tahu yang aku struggle gila nak tambah berat badan t 
2,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
2,teruntuk kak rehan kamu yg sabar ya 
1,halo kak untuk akreditasi di ban pt kamu bisa simak alur akreditasinya pada tautan berikut 
0,paling gak suka di bohongin kaya gini kalau gak mau ya udah aku biar sama cowok lain aja yankk
0,weh kejadian memalukan kt rnr gambang aku salah masuk kereta dalam tu ada bini orang tengah gendong anak 
1,anati cikgu hutang saya rm2 jangan lupa bayar cikgu hutang emas boleh dibayar aku hutang budi dibawa mati kan 
0,aku emoh megang kelas
0,aku menunggu dalam diam bukan krn aku tak berani bicara tapi aku takut bicaraku akan menjauhkanmu 
2,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz 
1,ih da aku masih 19 
1,btw aku kaget bp mau konser besok nov i mean dari sepengetahuanku lagu mereka baru 9 maybe mau kambek lag 
0,senarnye aku takut kalau pegi mana2 sorg jerr huhu
2,aku balik ngefans lagi wkwkwk
2,bro followan yuk ama aku ava ku sungwoon auto follback ya hehe
1,walaikumsalam sebab kami cuba untuk menggunakan teknik ingatan yang baik walau camane pon kami tetap kalah sebab perempua 
0,dorang dah freeze ah malas dah aku aku buat pun sebab parents aku 
1,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin 
1,bibir merah merona menggoda iman si adikkecil kamu 
1,selamat siang aku udah alai belum wkwkwkw
1,aku izin istirahat duluan ya karena besok aku harus bangun pagi lagi terimakasih sekali lagi semoga kita sama sama bisa 
2,aku ikutan 
1,ayooo aku daniel atau woojin
1,aku hanya anak kampung 
0,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
0,kamu kalo suka sama aku bilang aja biar aku bisa jauhin kamu 
1,soon or later aku sorang balik tak pelik pun
1,bro followan yuk ama aku ava ku sungwoon auto follback ya hehe
1,aku ikut klo bs ngikutin syaratnya hehe
1,aku pengen laptopku balik 
2,santai ae lak aku
0,maafin aku belum bisa jd yg sempurna sampai saat ini 
0,dulu waktu kecil gue mikirnya gapapa sekarang jelek item dekil buluk nanti gedenya cakep sampe sekarang sudah 13928174 
0,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
1,5 ciri nyeleneh orang ber iq tinggi kamualahatunya gayajitu
0,semua sibuk aku doang yang engga gabut solo 
0,engkau merokok hembus kat public aku batuk pastu cakap aku tak respect kau as amoker cakap aku acah2 batuk nmpk la mcm 
2,mengenali diriku sendiri adalah kunci untuk mencapai kesempurnaan karena itu berarti aku mengetahui apa yang bisa dan tidak bisa kulakukan
0,sedih aku tengok lelaki kena curang haih 
0,seperti biasa aku hanya bisa menatap diam2 berharap diam2 dan memperhatikan diam2 dari kejauhan gak berani bilang hehehe 
1,private yg tau cuma yg menang setahu aku
0,orang orang kisah cintanya kayak novel apalah aku cuman kek buku tulis sidu kosong yang tulisannya practice mak 
2,lol
2,sedap juga makan bende rebus ikan dengan nasi putihh aku penuh kesabaran tgk mak abh makan sambal sotong
0,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
1,cepat atau lambat pepatah ini akan terjadi pada siapapun termasuk aku 
2,aman aku teringat kau ckp apply kerja kat jobstreet aku apply kejap aje dapat bersyukur siak terima kasih lin 
2,aku selalu berpikir cinta itu artinya ingin selalu bersama seseorang yg sebenarnya sangat berharga dalam hidupku itsukipas pa 
1,aku kemaren hari rabu pas pulang 
1,aku jumpa ic ni atas highway time bantu orang kemalangan tlg saya cari owner ni jumpa kt kl 0189464060 er1 rescue t 
2,tak peduli apa yang telah hilang dalam hidupmu selama kamu masih mampu bersyukur pada tuhan kamu tak kehilangan apapun 
0,ya jawab aja bilang ke dia gamau atau gausah hargain sedikit lah orang yang peduli sama kamu jangan cuma k 
1,sempena hari jumaat ni aku nak mintak sikit sumbangan dari korang untuk mereka di kemboja sana wang sumbangan kekurangan l 
1,kejadian ragut samun dekat office aku pagi tadi around 8 35 am peragut naik 125zr warna biru try kejar tapi peragut bawa 
2,sayang kalo kamu cari yang tajir dan ganteng aku mundur tapi kalo kamu cari pengobatan ala tiongkok akupuntur 
1,aku tengok member yang keluar pergi sana sini tak habis2 duit diorang guna ilmu apa aku makan terlebih 10 ringgit sikit 
1,lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk 
1,time zakuan outstation lah internet aku habis 
0,siapa yg susah nmpk skrang ni aku ke kau ea 
0,jijikkk aku jijiiikkk
2,aku dengan kakak aku always wey tak pun yo 
1,giveawayas rt aja follow kalo bisa kalo nga bisa yauda rep apa aja aku bete hehe biar bisa mentionan hwuwuwhwu gud 
1,kamu lagi cari cari tas yang berkualitas disini tempatnya pusattaslokalid menyediakan ratusan tas lokal cocokbuat aktivitas
2,pasanganmu tetap yang terbaik selama kamu tidak terus terusan mencari kekurangannya justru kurangnya dia kamu usaha lengkapi 
2,done yaa moment yang bikin aku jatuh cinta samaeventeen setiap kali aku melihat sikap kekeluargaan 
1,power lah photographer tu 
1,gada embel embel yg menusuk mata ko mba semua pake nama lengkap gada unsur sedikitpun tentang saya 
1,faaakada apa dg changbin aku belom liat kenapa tl ngomongin changbinmua
2,thank you pulsanya udah masuk ya padahal mah aku niatnya cuma jawab komen kamu aja eh malah dikasih pulsa wkwke 
2,aku baru menyadarinya setelah sekian lamaemoga kelak dapet dospem yg baik hati 
1,aku pelik nie gambar bila pulak sbb mse dia msuk kan kucing tu nampak mcm xde org ada babi dua ekor ni 
0,aku rindu menjadi diriku sendiri aku yang utuh 
1,aku malah jarang banget ke eyon padahal pengen coba seirock ya huhu orz
1,kira beruntung aku still show off perangai bdk ii aku if one day kau xnmpk semua tu dri aku means u re not important fr me 
1,nanti akan saya update untuk monsta x's encore goods dan nct pc holo sharing ya maaf banget jadi nunggunya 
0,jika kamu tidak berjuang utk sesuatu yg kamu inginkan jgn pula kau tangisi saat kehilangan kesempatan utk mendapatkannya
2,giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits 
0,mangai aku rasa mahal dia bayar ni
1,aku ngirim dm apa yg kekirim malah yg lain 
1,sebagai wong jowo aku berprinsip gak ngerusak pager ayu gak ngerusak poros ijoakno om tekanan ment 
0,merindukan waktu di mana aku bermalas malasan 
1,berkenan betul aku dgn concept design ikea ni kepada bakal isteri kita tiru ni je la ek tak payah pening2 https 
0,kau scam aku sia siapa suruh ajak pubg semalam
0,aku cuma acah acah happy je depan kawan padahal life aku sunyi sepi tinggal cengkerik je bunyi 
1,2hare retweet repost informasi tentang kuis ini pada akun sosial media kalian dan tag mention 10 orang teman kamu 
1,halo teman idaman saatnya quizidaman turbo hadir kembali niih kali ini turbo ingin mengajak kamu untuk menebak keunggul 
0,"iPhone tak mahal aku rasa Ikut market price and purchasing power negara yang guna Bagi aku Ringgit Malaysia yang rendah ,"
2,sedap ni buat sate
1,pagii semuaaa aku kuliah siang tp tadi ada ngumpul2 dulu jam set 8 skrg baru selesai skrg mau beli bubur ayam dulu tr 
2,lee jonguk karena memang ia menganggap ljs adalah teman baik maka tidak perlu merasa canggung bukankah jika aku merasa rindu 
0,petang tadi dok lepak2 pantai lepas tu perasan ada dua awek dok tonggeng2o aku decide utk datang dekat depa tanya buat a 
1,kamu ugha
2,kalau aku mau melakukan itu jadinya ini nyatanya begini taunya begitu 
1,aku kering pake lipstick
1,jadi aku tak dapat sambung study degree mungkin aku dah kena teruskan dengan pekerjaan ja no more study for me 
1,hai kami sudah bantu validkan resi atas pengiriman tersebut untuk saat ini mohon sedianya kamu menung 
2,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember 
0,rana meletakkan bawaannya dengan anarkis ke atas meja lalu duduk di sofa sambil melirik kiri ka 
0,kalo kamu lagi dimana mana dan itu bukan daerahmu ya coba buat ngehargain apa yang ada disana jangan sembar 
0,tak sangka ramai yang mendoakan aku dalam diam 
1,ustazah pernah cakap cuba kamu hidup sehari tanpa gadjet kamu akan terkejut betapa banyaknya masa yg kamu ada i agre 
0,dibelakang upaya degradasi islam ada kekuatan besar yangemua mulut tidak mau menyebutnya aku kasih klu nya aja minoritas 
2,amiiiiin goodluck 
2,bukan aku lah setan ish dia ni ahahahahahahah syaza en alamak pukul kau kang 
1,first giveaway nature republic aloe vera untuk 1 orang pemenang pulsa 50k untuk 1 orang pemenang caranya amp like twee 
2,masuk grup yg aku barusan share ya ntar langsung goyang aja shopeenya 
0,bodo betul aku terhibur bodo ada member ceni 
2,kejar mimpimu aku takkan berhenti sblm sampai ke pertemuan 2 laut atau aku akan berjalan bertahun2 qs al kahfi 60 
1,aku pon pernah makan la seal asyik 90an je grrrrrrr 
1,ign nya apaaa aku udah on ini wkwk
2,nampak sedap do leleh patut aku ikut je zzz
1,sembang dengan budak legend aku kau belajar kat mana main ml memboi 
1,ya itu kata orang tua orang tua yg pernah aku temuin supir dll 
1,bila cg intai kertas exam masa kau buat 
2,benar kan aku 
2,nanti aku tanyain keuamiku dulu ya baru aku kabarin wkw
1,asam lambung naik kayanya aku juga sempet gitu tiap makan pasti muntah nyoba minum acitral tiap abis 
0,dijadiin bumbu dapur aku 
0,kalo ga diingatkan pun aku ndak nyadar kalo aku dimanfaatkan hanya sebatas ndak enak an tapi kok nglunjak begit 
0,harap aku tak termakan janji manis org lagi dah lepas ni cukuplah 
0,lucu do tadi kak cafe asal mana dik mearawak kak k cafe org mana me kuching kak k cafe ohhh org bandar 
1,aku onnnnn jap aku tanya eva balek
1,13 tergantung sih gimana cowoknya hehe 14 no soalnya rambut aku cepet kusut
0,kalau itu misi kamu letaklah jawatan sebagai menteri dan mp this is exactly the problem you're supposed to serve all mala 
0,aku nggak pernah baik baik saja kalau lagi kangen sama kamu 
2,jangan semakkan life aku dengan mende yang berguna hahahahaha
2,aku ingin begini aku ingin begitu ingin ini itu banyak sekaliemua semua semua dapat dikabulkan dapat dikabulk 
2,tadi ada budak usm kelantan panggil aku akak sebab dia kata gaya aku macam senior lewlwlwls
0,bodo la aku mmg kumpul denda ke gila sem ni dari tak sah kmjp tak daftar awal kad matrik hilang dah nk dekat 10 
1,jumat berkah nihebaya muda pada siap siap buat weekend kali ini yuk santai dulu ditemenin lagu favorit kamu di 
0,jangan terlalu menganggap rp bakal bikin kamu seneng dan bahagia di rl dunia yang gabisa kita tinggal aja gaada yang abadi 
1,ye doh pernah dulu pergi beraya aku tak makan mak aku bising sebab tak appreciate effort orang no 
1,bjbms adalah layanan perbankan yang dapat kamu gunakan untuk bertransaksi perbankan melaluims di ponselmu sehingga ka 
2,pencapaian sederhana dalam hidup instastory ku dilihat kamu 
0,aku dan adikku ingin makan marugamen udon tapi mager af gojek mahal af yaudah dengan berat hati kita keluar kosan sad 
1,met siang tante nih no wa aku 081578766035
1,iya aku jungwoo hyuuung siapa bilang aku johnny hyung d
0,di sela sela convo saat ada yang petrus biasanya cewe cewe pada jawab begini mundur kamu 
1,askmf keadaan iphone 4s aku sekarang 
1,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better 
2,moga2 allah berikan aku bersalin normal dengan selamat kali kedua nanti 
0,kalau kau abaikan aku tu kira ok lagi kalau kau tak put so much effort pun aku ok lagi but kalau kau layan orang lain 
1,rezeki aku yg xde bukan salah dia jugak so yeah i eat milo 3 in 1 je la nanti balik baru makan banyak2
2,malu dia kayanya padahal aku bangga2in dia 
2,tls followan ama aku yukk rep rt kita temenan
0,diam aku tak bermakna aku akur diam aku menunggu 
2,aku mimpiin kamu dong 
2,lucu do tadi kak cafe asal mana dik mearawak kak k cafe org mana me kuching kak k cafe ohhh org bandar 
1,tunggu aku oke 
0,bodola emma tak jadi aku nak murung harini 
1,ayah aku baru meninggal 1tahun8bulan abang aku meinggal 11 hari lepas tinggal la aku emak amp abg lagi sorang je terd 
1,aku pake tapi sebenernya boleh pake apa ngga sih 
2,iya huhu aku sayang mutual disini 
1,kejadian ragut samun dekat office aku pagi tadi around 8 35 am peragut naik 125zr warna biru try kejar tapi peragut bawa 
0,hancur habis hati aku
1,sementara itu aku masih main winning eleven bukan biasa biasa 
1,kalau ikutkan statistik sexual harassment yg berlaku dkt malaysia sekarang ni bukan perempuan yg patut dok rumah tapi lel 
2,hahahahahahaahahaha aku jauh kot siapa nk amik aku 
1,diem ini aku
2,jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora 
0,aku gamau watch drama nya kalau gitu 
1,aku jenis cepat marah tapi cepat sejuk balik marah aku tu tak lama punebab nanti aku akan rasa serba salah even bukan sal 
0,sorry wehebabusahkan kau aku tak suka bila kawan aku cakap macam ni kau kawan aku jadi tolong kau tu dah macam tan 
0,kau dah tgk episode 4 belum aku stress sbb diorg asyik keluarkan yg hasil gambar model tu cantik p 
1,kalau kamu harus memilih lebih memilih mana nu atau muhammadiyah kalau bisa jelaskan hehe no comment 
0,jangan tanya aku aku kentang non kyut yg cuma bisa mendem rasa aja mau deket tapi takut ndak dinotis 
1,ga lupa kalo kamu bagi beb
0,hari gini masih aja percaya mitos yang bisa menerima diriku apa adanya um helow sekarang mah dimana mana kamu pu 
0,admin tau kalo hoseok bisa nyetir tapi kenapa aku tetephock kalo hoseok bisa nyetir mpn btsarmy https 
0,24 tahun hidup baru aku tahu sebanyak ni rupanya idioms siap ikut jenis hidupan laut pulak tu 
2,ini aku main pake yang biasa tetep nyaman ps4 pro cuma buat 4k doang bang utamanya ini malah aku p 
1,fm followan yu sama aku rt aja ya jfb mo mt yo
0,iyain ajalah kasian tapi masih cantikan aku 
1,kurus ja hanbin ni aku tengok
2,masih belum terlambat kalau nak cuba hisap rekorder 
2,kakak caro plis hari ini menang ya biar weekend ku berwarna ngeliat kamu di tipi hehehe
1,mfs temenan rt ja ntar aku folow tpi jfb
2,daripada kamu bergantung pada alat alat ku lebih baik kamu kerjakan dengan usahamu sendiri doraemon 
0,ajarin aku bahagia
2,hahahaha hey aku lagi lalalaa
1,tau aku asus jg mau nanya suara speaker km kecil atau ga 
1,pah butang baju melayu aku mana pah 
0,nilah antara penyebab utama aku taknak balik ni
1,semua taktahu betapa lajunya aku nak cari nombor perdana guna calculator
0,bodohnya asheeq ali ni kalau ukm kena saman duit nak bayar saman tu guna duit students ke macam nak mampus orang 
1,sinii aku jurusan akuntansi nih 
1,bende ni buat aku teringat dekat kucing aku yg tgh bunting dkat rumah 
1,threesome lokal nih kamu pilih jadi yang mana gaes 1 bawah 2 tengah 3 atas gayvid gvid lokalhangat 
1,mak aku pun ckp dekat abang aku anan gi laa kawen cepat nanti dah x de kawan sbb kawan anan semua dah kawen tahun depan kahwin 
1,terlalu pagi mungkin kau belum bangun aku sudah bersiap untuk melanjutkan pekerjaan yang lainimpan saja mimpimu dan nik 
2,kena bayar lebih kalau mcmni 
0,hmm taktahu la kenapa takut mungkin fobia pernah tengok orang kena cakar dekat muka sampai kena dalam isi tapi tak takut kal 
1,dari dulu aku dah kata penyokong ph ke penyokong bn ke penyokong pas ke kalau dah perangai suka memburukkan antara sat 
2,aku penginne kerjo ng tmpat dgn bismis
2,dosen2 macam bu lilis ini nih yg bikin aku tambah pengen jadi orang hukum
2,karena aku menang fansign svt besok aku mau giveaway untuk carat ditunggu yaa 
1,askmf kata cowoku aku lebih ganteng kalau pakai bikini 
0,seandainya ketemu aku apa yg ingin kamu katakan kamu siapah 
1,ada orang dm aku yang ni thanks 
1,mb twitmu biasa aja untung kamu cakep makanya banyak yg rituit sekian 
0,bila dah cepat move on ni aku rasa semua benda boleh pergi mampus
1,some women are trash some seharum bunga yang mengoda and some yang melengkapi kekurangan para lelaki but it is all about t 
1,kamu menang undiannya nder kalo ikut mending tanyain csnya kalo belom dihubungin
1,kenapa aku typo 
1,skin type kamu apa 
0,siapa kentut atau kaki busuk mampus tak datang langsung aku nanti 
0,alasan paling cliche aku pernah dengar dari mulut seorang wanita adalah 'saya dah banyak sakitkan hati awak dan tak sanggup 
2,aku suka lebih suka klo lihat isi nya tambah sange
2,mau dong pinjem catetannya aku pemales wkwk
1,hee follbck en aku tahhh mellas lohh
0,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
1,pernah dicritain sama guide aku ada anak cowo kencing sembarangan pas pulang dri bali bijinya bengkak sebel 
1,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping 
0,20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si 
1,lagi aku sapot haaaa
1,michel gabriel liburan kemaren ke mana gabriel gak ke mana mana cuma ke hongkong bentaran kamu 
0,btw kemaren cuco abis ke jkt tapi aku kehabisa tiket huhu 
1,giveaway diadakan dlm rangka bday guanlin mau tambah tmn monbebe amp nctzen 
1,kemungkinan besar aku bawak buku ke sini tapi waswas lagi lah kobekfest 
1,iyaaa aku beberes kamar trus aku bikin daftar ternyata banyak yang musti dilakuin wkwk udah sampe rumah ya bek 
2,jangan pernah tinggalin seseorang yang kamu butuhkan demi orang lain yang kamu inginkan 
2,aku ingin ngecat kamar warna tango bubble gum 
1,kalau bab haiwan ni aku memang sensitif sangat apa salah kucing tu kau masukkan dalam dryer sampai mati kau seksa dia bo 
1,bila cg intai kertas exam masa kau buat 
1,adoh aku nang kampus mlebu jam 1 tp meh bali tanggung 
1,koe do ndelok the nun aku tak cak nun 
0,kalau kamu belum selesai dengan amanah kecil kamu ga akan dipercaya dapet amanah yang lebih besar nurist 
1,izinkan aku mengupload ini 
2,aku ni jenis dahulukan orang yang aku sayang bahagia dulu lepastu baru aku membawa diri 
2,ho oh wkwk kok bisa itu lho tingkahnyaaaa heran aku wkwk lumayan kan nyes ilang dikit capekmu kelar kerja haha 
0,makin loner aku bila tengok benda ni 
0,jangan berharap nanti kamu jadi kecoa loh eh kecewa maksudnya 
1,aku mari berhasil menjebak greni peng pisan tapi kali kedua gak mempan sirahku malah dipecahno
1,bile kau tanya member kau makan ape sampai jadi kelakar macam nie kau tengok lah perangai dia bunuh jela aku kalau 
0,jangan terlalu bergantung pada orang lain karna bayanganmu sendiri saja dapat meninggalkanmu saat kamu ada di kegelapan
1,2malam tak tido badan tak rehat nasib baik esok cuti balik keje aku nk tdo
2,pm setuju kamu sibuk sebab apa anwar ibrahim 
0,hari ini hatiku hancur lebur dek kerana sikap anak aku sendiri anak kantoi menyamun di dobi layan diri ibu l 
2,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah 
0,keknya aku ga bisa ikut level up ya album aja ga onok
1,enjoythebeat from izinkan aku wib waktu indonesia banget with beater raisadinata harder 
0,jikalau hidup kamu ditimpa berkali kali ujian jangan salahkan takdir tapi cuba check balik ada tak kamu memperdayakan hidu 
1,kak ari beli dulu ntar kalo bagus bilang aku wkwkwk
2,aku emang suka maksa orang 
1,knapa pipi aku hm kembungin pipi waktu di cubit dimana aja asal ga ada yg liat 
1,yee confirm yee yg dlm tu bukan aku tapi aku ada masa recording tu biasa lah loya2 mana boleh nk nyan 
2,bebe rexha ni contoh perempuan yg chubby tapi lawa body goals tak perlu bersusah paysh diet sbb bagi aku semua perempuan n 
0,wah jauh ini aku barat sungai jembatan lamanya lagi diperbaiki jadi harus muter
0,demi apa emg gimana ceritanya tp kamu ga dikata2in kan 
1,salah satunya itu yang lainnya ada banyak kebiasaan kebiasaan kecil kamu kamu ga sadar tapi aku sadar 
0,pasya claim yang aku tok makan apa apa still kurus keding babi juak eh aku lom pernah rasanya post gamba ku gemok 
1,insecure sangat dengan girls yang kulit licin selicin permukaan kaca ni aku mampu kaca retak je hsuwduhfjsnfbei i hate bre 
2,boleh ga aku mampir ke warungnya 
0,sumpah tak suka bila rasa diri jadi second choice kan best kalau ada orang yang memang tunggu aku dah lama and still 
0,mas kamu ganteng tapi ngetik email jadi imel mending kamu balik aja ke jaman kompeni bantu voc dagang rempah rempah
1,aku pikir baik kau je haih
0,depan family dia boleh lah berlakon acah suci smpai family pun suka sgt kat dia tapi belakang family tuhan je tahu 
1,pengalaman saya pergi mahkamah syariah adalah mendengar nasihat dari tuan hakim mengenai masalah rumah 
0,wah sama nder kmrn2 aku gt di kelingking kaki itu tuh parah bgt sampe ngelupas berdarah pdhl gapernah gitu 
2,ngakak aku wkwkwkw
2,lagu insomnia nya skz itu bukan tittle track ya kok aku malah ketagihan lagu itu hehe
2,aku kagum pada thor anak tuhan tapi idup serba sederhana cuma ada tukul tak yah keta hrga juta2 
1,pastu aku jumpa 1 thread ni pasal alaisyah brader tu cuma pakai pencuci je tp muka da flawless aku pun cuba la mem 
2,sebenarnya aku sedar je yang aku ni tak cantik sebab tu aku letak nama yangchantik sebab nak boost confident aku kalau 
1,abg sado ajak teman malam ni lunyai la aku 
0,aku nak beli memang tak sesuai ah aku tak suka kucing 
1,giveaway top up dana tix id untuk 2 orang masing masing 50 000 cukup aja tweet ini nanti aku undi lewat tweetdr 
2,semarang kota di mana aku dgnnya bertemu meskipun tdk langsung bersatu tapi mampu melewati waktu hingga akhirnya bertemu 
1,hari ini konser kisah klasikheila on 7 akan hadir menemani jumat malam kamuiapa yang akan kamu ajak bernostalgia bersama 
0,aku dan kisah miskinku 
1,please ada yg sekolah nya di sma rimba madya atau ada yg alamatnya di sini tolong ya please banget nanti aku 
0,kamu kok gitu sama aq 
0,uhh favorit gue tuh menyuruh orang untuk bahagia buat nglupain kita kok malah sedih ya aku
1,deva whisper aku lagu idol sblum exam nak jwb maths terus lost
